Name,Type,Category,Power,Accuracy,PP
Slash,Normal,Physical,70,100,20
Substitute,Normal,Status,,,10
Struggle,Normal,Physical,50,,1
Sketch,Normal,Status,,,1
Triple Kick,Fighting,Physical,10,90,10
Thief,Dark,Physical,60,100,25
Spider Web,Bug,Status,,,10
Mind Reader,Normal,Status,,,5
Nightmare,Ghost,Status,,100,15
Flame Wheel,Fire,Physical,60,100,25
Snore,Normal,Special,50,100,15
Curse,Ghost,Status,,,10
Flail,Normal,Physical,,100,15
Conversion 2,Normal,Status,,,30
Aeroblast,Flying,Special,100,95,5
Cotton Spore,Grass,Status,,100,40
Reversal,Fighting,Physical,,100,15
Spite,Ghost,Status,,100,10
Powder Snow,Ice,Special,40,100,25
Protect,Normal,Status,,,10
Mach Punch,Fighting,Physical,40,100,30
Scary Face,Normal,Status,,100,10
Feint Attack,Dark,Physical,60,,20
Sweet Kiss,Fairy,Status,,75,10
Belly Drum,Normal,Status,,,10
Sludge Bomb,Poison,Special,90,100,10
Mud-Slap,Ground,Special,20,100,10
Octazooka,Water,Special,65,85,10
Spikes,Ground,Status,,,20
Zap Cannon,Electric,Special,120,50,5
Foresight,Normal,Status,,,40
Destiny Bond,Ghost,Status,,,5
Perish Song,Normal,Status,,,5
Icy Wind,Ice,Special,55,95,15
Detect,Fighting,Status,,,5
Bone Rush,Ground,Physical,25,90,10
Lock-On,Normal,Status,,,5
Outrage,Dragon,Physical,120,100,10
Sandstorm,Rock,Status,,,10
Giga Drain,Grass,Special,75,100,10
Endure,Normal,Status,,,10
Charm,Fairy,Status,,100,20
Rollout,Rock,Physical,30,90,20
False Swipe,Normal,Physical,40,100,40
Swagger,Normal,Status,,85,15
Milk Drink,Normal,Status,,,5
Spark,Electric,Physical,65,100,20
Fury Cutter,Bug,Physical,40,95,20
Steel Wing,Steel,Physical,70,90,25
Mean Look,Normal,Status,,,5
Attract,Normal,Status,,100,15
Sleep Talk,Normal,Status,,,10
Heal Bell,Normal,Status,,,5
Return,Normal,Physical,,100,20
Present,Normal,Physical,,90,15
Frustration,Normal,Physical,,100,20
Safeguard,Normal,Status,,,25
Pain Split,Normal,Status,,,20
Sacred Fire,Fire,Physical,100,95,5
Magnitude,Ground,Physical,,100,30
Dynamic Punch,Fighting,Physical,100,50,5
Megahorn,Bug,Physical,120,85,10
Dragon Breath,Dragon,Special,60,100,20
Baton Pass,Normal,Status,,,40
Encore,Normal,Status,,100,5
Pursuit,Dark,Physical,40,100,20
Rapid Spin,Normal,Physical,50,100,40
Sweet Scent,Normal,Status,,100,20
Iron Tail,Steel,Physical,100,75,15
Metal Claw,Steel,Physical,50,95,35
Vital Throw,Fighting,Physical,70,,10
Morning Sun,Normal,Status,,,5
Synthesis,Grass,Status,,,5
Moonlight,Fairy,Status,,,5
Hidden Power,Normal,Special,60,100,15
Cross Chop,Fighting,Physical,100,80,5
Twister,Dragon,Special,40,100,20
Rain Dance,Water,Status,,,5
Sunny Day,Fire,Status,,,5
Crunch,Dark,Physical,80,100,15
Mirror Coat,Psychic,Special,,100,20
Psych Up,Normal,Status,,,10
Extreme Speed,Normal,Physical,80,100,5
Ancient Power,Rock,Special,60,100,5
Shadow Ball,Ghost,Special,80,100,15
Future Sight,Psychic,Special,120,100,10
Rock Smash,Fighting,Physical,40,100,15
Whirlpool,Water,Special,35,85,15
Beat Up,Dark,Physical,,100,10
Fake Out,Normal,Physical,40,100,10
Uproar,Normal,Special,90,100,10
Stockpile,Normal,Status,,,20
Spit Up,Normal,Special,,100,10
Swallow,Normal,Status,,,10
Heat Wave,Fire,Special,95,90,10
Hail,Ice,Status,,,10
Torment,Dark,Status,,100,15
Flatter,Dark,Status,,100,15
Will-O-Wisp,Fire,Status,,85,15
Memento,Dark,Status,,100,10
Facade,Normal,Physical,70,100,20
Focus Punch,Fighting,Physical,150,100,20
Smelling Salts,Normal,Physical,70,100,10
Follow Me,Normal,Status,,,20
Nature Power,Normal,Status,,,20
Charge,Electric,Status,,,20
Taunt,Dark,Status,,100,20
Helping Hand,Normal,Status,,,20
Trick,Psychic,Status,,100,10
Role Play,Psychic,Status,,,10
Wish,Normal,Status,,,10
Assist,Normal,Status,,,20
Ingrain,Grass,Status,,,20
Superpower,Fighting,Physical,120,100,5
Magic Coat,Psychic,Status,,,15
Recycle,Normal,Status,,,10
Revenge,Fighting,Physical,60,100,10
Brick Break,Fighting,Physical,75,100,15
Yawn,Normal,Status,,,10
Knock Off,Dark,Physical,65,100,20
Endeavor,Normal,Physical,,100,5
Eruption,Fire,Special,150,100,5
Skill Swap,Psychic,Status,,,10
Imprison,Psychic,Status,,,10
Refresh,Normal,Status,,,20
Grudge,Ghost,Status,,,5
Snatch,Dark,Status,,,10
Secret Power,Normal,Physical,70,100,20
Dive,Water,Physical,80,100,10
Arm Thrust,Fighting,Physical,15,100,20
Camouflage,Normal,Status,,,20
Tail Glow,Bug,Status,,,20
Luster Purge,Psychic,Special,70,100,5
Mist Ball,Psychic,Special,70,100,5
Feather Dance,Flying,Status,,100,15
Teeter Dance,Normal,Status,,100,20
Blaze Kick,Fire,Physical,85,90,10
Mud Sport,Ground,Status,,,15
Ice Ball,Ice,Physical,30,90,20
Needle Arm,Grass,Physical,60,100,15
Slack Off,Normal,Status,,,5
Hyper Voice,Normal,Special,90,100,10
Poison Fang,Poison,Physical,50,100,15
Crush Claw,Normal,Physical,75,95,10
Blast Burn,Fire,Special,150,90,5
Hydro Cannon,Water,Special,150,90,5
Meteor Mash,Steel,Physical,90,90,10
Astonish,Ghost,Physical,30,100,15
Weather Ball,Normal,Special,50,100,10
Aromatherapy,Grass,Status,,,5
Fake Tears,Dark,Status,,100,20
Air Cutter,Flying,Special,60,95,25
Overheat,Fire,Special,130,90,5
Odor Sleuth,Normal,Status,,,40
Rock Tomb,Rock,Physical,60,95,15
Silver Wind,Bug,Special,60,100,5
Metal Sound,Steel,Status,,85,40
Grass Whistle,Grass,Status,,55,15
Tickle,Normal,Status,,100,20
Cosmic Power,Psychic,Status,,,20
Water Spout,Water,Special,150,100,5
Signal Beam,Bug,Special,75,100,15
Shadow Punch,Ghost,Physical,60,,20
Extrasensory,Psychic,Special,80,100,20
Sky Uppercut,Fighting,Physical,85,90,15
Sand Tomb,Ground,Physical,35,85,15
Sheer Cold,Ice,Special,,30,5
Muddy Water,Water,Special,90,85,10
Bullet Seed,Grass,Physical,25,100,30
Aerial Ace,Flying,Physical,60,,20
Icicle Spear,Ice,Physical,25,100,30
Iron Defense,Steel,Status,,,15
Block,Normal,Status,,,5
Howl,Normal,Status,,,40
Dragon Claw,Dragon,Physical,80,100,15
Frenzy Plant,Grass,Special,150,90,5
Bulk Up,Fighting,Status,,,20
Bounce,Flying,Physical,85,85,5
Mud Shot,Ground,Special,55,95,15
Poison Tail,Poison,Physical,50,100,25
Covet,Normal,Physical,60,100,25
Volt Tackle,Electric,Physical,120,100,15
Magical Leaf,Grass,Special,60,,20
Water Sport,Water,Status,,,15
Calm Mind,Psychic,Status,,,20
Leaf Blade,Grass,Physical,90,100,15
Dragon Dance,Dragon,Status,,,20
Rock Blast,Rock,Physical,25,90,10
Shock Wave,Electric,Special,60,,20
Water Pulse,Water,Special,60,100,20
Doom Desire,Steel,Special,140,100,5
Psycho Boost,Psychic,Special,140,90,5
